TOTAL_MISSIONS,DATE
355,10/1/65
927,10/2/65
1455,10/3/65
1928,10/4/65
2536,10/5/65
3095,10/6/65
3576,10/7/65
4161,10/8/65
4759,10/9/65
5491,10/10/65
5902,10/11/65
6287,10/12/65
6571,10/13/65
6927,10/14/65
7278,10/15/65
7707,10/16/65
7979,10/17/65
8358,10/18/65
8878,10/19/65
9357,10/20/65
9781,10/21/65
10285,10/22/65
10889,10/23/65
11412,10/24/65
11979,10/25/65
12645,10/26/65
13290,10/27/65
13770,10/28/65
14464,10/29/65
15190,10/30/65
15751,10/31/65
16426,11/1/65
17024,11/2/65
17508,11/3/65
18125,11/4/65
18697,11/5/65
19393,11/6/65
19935,11/7/65
20483,11/8/65
21095,11/9/65
21696,11/10/65
22425,11/11/65
23099,11/12/65
23864,11/13/65
24458,11/14/65
25112,11/15/65
25748,11/16/65
26417,11/17/65
27209,11/18/65
27921,11/19/65
28457,11/20/65
28999,11/21/65
29475,11/22/65
30071,11/23/65
30663,11/24/65
31162,11/25/65
31655,11/26/65
32054,11/27/65
32559,11/28/65
33144,11/29/65
33721,11/30/65
34254,12/1/65
34838,12/2/65
35475,12/3/65
36016,12/4/65
36598,12/5/65
37207,12/6/65
37800,12/7/65
38473,12/8/65
39200,12/9/65
39863,12/10/65
40496,12/11/65
41294,12/12/65
41982,12/13/65
42819,12/14/65
43499,12/15/65
44101,12/16/65
44572,12/17/65
44976,12/18/65
45499,12/19/65
45985,12/20/65
46590,12/21/65
47323,12/22/65
48004,12/23/65
48624,12/24/65
48634,12/25/65
49021,12/26/65
49588,12/27/65
50348,12/28/65
51072,12/29/65
51752,12/30/65
52408,12/31/65
52784,1/1/66
53267,1/2/66
53747,1/3/66
54238,1/4/66
54735,1/5/66
55279,1/6/66
55768,1/7/66
56269,1/8/66
56815,1/9/66
57297,1/10/66
57850,1/11/66
58292,1/12/66
58812,1/13/66
59256,1/14/66
59678,1/15/66
60180,1/16/66
60654,1/17/66
61094,1/18/66
61554,1/19/66
61750,1/20/66
61857,1/21/66
61971,1/22/66
62206,1/23/66
62685,1/24/66
63175,1/25/66
63655,1/26/66
64144,1/27/66
64529,1/28/66
64931,1/29/66
65431,1/30/66
66017,1/31/66
66589,2/1/66
67068,2/2/66
67647,2/3/66
68167,2/4/66
68568,2/5/66
69027,2/6/66
69587,2/7/66
70149,2/8/66
70652,2/9/66
71266,2/10/66
71834,2/11/66
72435,2/12/66
72931,2/13/66
73423,2/14/66
74021,2/15/66
74486,2/16/66
74957,2/17/66
75468,2/18/66
75923,2/19/66
76352,2/20/66
76822,2/21/66
77344,2/22/66
77747,2/23/66
78111,2/24/66
78568,2/25/66
79093,2/26/66
79725,2/27/66
80318,2/28/66
80941,3/1/66
81460,3/2/66
82049,3/3/66
82752,3/4/66
83335,3/5/66
84054,3/6/66
84776,3/7/66
85336,3/8/66
85815,3/9/66
86305,3/10/66
86792,3/11/66
87402,3/12/66
88089,3/13/66
88793,3/14/66
89366,3/15/66
89944,3/16/66
90581,3/17/66
91145,3/18/66
91677,3/19/66
92312,3/20/66
93001,3/21/66
93664,3/22/66
94334,3/23/66
95038,3/24/66
95591,3/25/66
96085,3/26/66
96577,3/27/66
97167,3/28/66
97790,3/29/66
98346,3/30/66
98946,3/31/66
99987,4/1/66
101027,4/2/66
102341,4/3/66
103487,4/4/66
104506,4/5/66
105579,4/6/66
106527,4/7/66
107409,4/8/66
108226,4/9/66
109024,4/10/66
109959,4/11/66
110800,4/12/66
111707,4/13/66
112827,4/14/66
113776,4/15/66
114813,4/16/66
115735,4/17/66
116652,4/18/66
117626,4/19/66
118591,4/20/66
119757,4/21/66
120863,4/22/66
122048,4/23/66
123123,4/24/66
124192,4/25/66
125349,4/26/66
126596,4/27/66
127962,4/28/66
129107,4/29/66
130221,4/30/66
130731,5/1/66
131171,5/2/66
131559,5/3/66
131868,5/4/66
132364,5/5/66
132806,5/6/66
133007,5/7/66
133403,5/8/66
133857,5/9/66
134501,5/10/66
135138,5/11/66
135737,5/12/66
136354,5/13/66
136844,5/14/66
137267,5/15/66
137700,5/16/66
138112,5/17/66
138565,5/18/66
139006,5/19/66
139416,5/20/66
139884,5/21/66
140409,5/22/66
140836,5/23/66
141361,5/24/66
141856,5/25/66
142297,5/26/66
142659,5/27/66
143107,5/28/66
143588,5/29/66
144019,5/30/66
144521,5/31/66
145084,6/1/66
145686,6/2/66
146283,6/3/66
146718,6/4/66
147237,6/5/66
147771,6/6/66
148352,6/7/66
148965,6/8/66
149556,6/9/66
150108,6/10/66
150692,6/11/66
151241,6/12/66
151780,6/13/66
152352,6/14/66
153017,6/15/66
153627,6/16/66
154196,6/17/66
154755,6/18/66
155347,6/19/66
155957,6/20/66
156542,6/21/66
157060,6/22/66
157638,6/23/66
158228,6/24/66
158760,6/25/66
159386,6/26/66
159967,6/27/66
160470,6/28/66
160998,6/29/66
161512,6/30/66
162022,7/1/66
162630,7/2/66
163217,7/3/66
163872,7/4/66
164592,7/5/66
165339,7/6/66
166003,7/7/66
166670,7/8/66
167362,7/9/66
168156,7/10/66
168894,7/11/66
169566,7/12/66
170237,7/13/66
170925,7/14/66
171601,7/15/66
172347,7/16/66
173060,7/17/66
173709,7/18/66
174512,7/19/66
175265,7/20/66
176034,7/21/66
176746,7/22/66
177423,7/23/66
178163,7/24/66
178734,7/25/66
179403,7/26/66
180215,7/27/66
180941,7/28/66
181752,7/29/66
182547,7/30/66
183294,7/31/66
183893,8/1/66
184298,8/2/66
184978,8/3/66
185679,8/4/66
186372,8/5/66
187137,8/6/66
187935,8/7/66
188729,8/8/66
189553,8/9/66
190258,8/10/66
191010,8/11/66
191762,8/12/66
192532,8/13/66
193311,8/14/66
194074,8/15/66
194839,8/16/66
195434,8/17/66
196131,8/18/66
196871,8/19/66
197578,8/20/66
198286,8/21/66
198881,8/22/66
199485,8/23/66
200279,8/24/66
201107,8/25/66
201908,8/26/66
202594,8/27/66
203237,8/28/66
203994,8/29/66
204752,8/30/66
205333,8/31/66
206204,9/1/66
207169,9/2/66
208214,9/3/66
209419,9/4/66
210583,9/5/66
211818,9/6/66
212774,9/7/66
213894,9/8/66
214977,9/9/66
215949,9/10/66
216845,9/11/66
217677,9/12/66
218503,9/13/66
219267,9/14/66
220187,9/15/66
221114,9/16/66
221945,9/17/66
222807,9/18/66
223705,9/19/66
224562,9/20/66
225460,9/21/66
226353,9/22/66
227165,9/23/66
227926,9/24/66
228738,9/25/66
229583,9/26/66
230585,9/27/66
231466,9/28/66
232474,9/29/66
233131,9/30/66
234143,10/1/66
235348,10/2/66
236522,10/3/66
237624,10/4/66
238400,10/5/66
239429,10/6/66
240581,10/7/66
241566,10/8/66
242510,10/9/66
243710,10/10/66
244635,10/11/66
245647,10/12/66
246691,10/13/66
247736,10/14/66
248522,10/15/66
249322,10/16/66
249929,10/17/66
250522,10/18/66
251204,10/19/66
251862,10/20/66
252555,10/21/66
253043,10/22/66
253479,10/23/66
254040,10/24/66
254635,10/25/66
255306,10/26/66
256155,10/27/66
256861,10/28/66
257608,10/29/66
258356,10/30/66
259141,10/31/66
260101,11/1/66
261220,11/2/66
262381,11/3/66
263493,11/4/66
264517,11/5/66
265525,11/6/66
266648,11/7/66
267675,11/8/66
268718,11/9/66
269611,11/10/66
270521,11/11/66
271183,11/12/66
272101,11/13/66
272862,11/14/66
273467,11/15/66
273999,11/16/66
274704,11/17/66
275409,11/18/66
276207,11/19/66
276998,11/20/66
277712,11/21/66
278590,11/22/66
279476,11/23/66
280583,11/24/66
281059,11/25/66
281583,11/26/66
282142,11/27/66
282838,11/28/66
283568,11/29/66
284216,11/30/66
284878,12/1/66
285570,12/2/66
286243,12/3/66
287194,12/4/66
288050,12/5/66
288837,12/6/66
289701,12/7/66
290545,12/8/66
291378,12/9/66
292279,12/10/66
293338,12/11/66
294393,12/12/66
295262,12/13/66
296052,12/14/66
296903,12/15/66
297724,12/16/66
298534,12/17/66
299514,12/18/66
300668,12/19/66
301783,12/20/66
302892,12/21/66
303648,12/22/66
304277,12/23/66
304443,12/24/66
304631,12/25/66
305378,12/26/66
306068,12/27/66
306688,12/28/66
307342,12/29/66
307930,12/30/66
308086,12/31/66
308163,1/1/67
308709,1/2/67
309405,1/3/67
310136,1/4/67
310945,1/5/67
311860,1/6/67
312678,1/7/67
313484,1/8/67
314377,1/9/67
315149,1/10/67
315971,1/11/67
317029,1/12/67
318025,1/13/67
318814,1/14/67
319653,1/15/67
320466,1/16/67
321396,1/17/67
322330,1/18/67
323411,1/19/67
324535,1/20/67
325652,1/21/67
326461,1/22/67
327272,1/23/67
328147,1/24/67
329129,1/25/67
330263,1/26/67
331284,1/27/67
332518,1/28/67
333616,1/29/67
334550,1/30/67
335557,1/31/67
336572,2/1/67
337627,2/2/67
338852,2/3/67
340080,2/4/67
341303,2/5/67
342606,2/6/67
343754,2/7/67
344104,2/8/67
344404,2/9/67
344725,2/10/67
345042,2/11/67
345918,2/12/67
347001,2/13/67
347953,2/14/67
349158,2/15/67
350335,2/16/67
351598,2/17/67
352739,2/18/67
353970,2/19/67
355271,2/20/67
356567,2/21/67
357744,2/22/67
358933,2/23/67
360115,2/24/67
361162,2/25/67
362069,2/26/67
363074,2/27/67
364110,2/28/67
365223,3/1/67
366399,3/2/67
367499,3/3/67
368443,3/4/67
369361,3/5/67
370159,3/6/67
370979,3/7/67
371916,3/8/67
372853,3/9/67
373535,3/10/67
374339,3/11/67
375300,3/12/67
376382,3/13/67
377547,3/14/67
378413,3/15/67
379426,3/16/67
380427,3/17/67
381289,3/18/67
382302,3/19/67
383251,3/20/67
384206,3/21/67
385092,3/22/67
386061,3/23/67
387004,3/24/67
387910,3/25/67
388949,3/26/67
390049,3/27/67
391189,3/28/67
392235,3/29/67
393358,3/30/67
394589,3/31/67
395715,4/1/67
