YEAR,MONTH,MISSIONS
1965,10,15751
1965,11,17970
1965,12,18687
1966,1,13609
1966,2,14301
1966,3,18628
1966,4,31275
1966,5,14300
1966,6,16991
1966,7,21782
1966,8,22039
1966,9,27798
1966,10,26010
1966,11,25075
1966,12,23870
1967,1,27471
1967,2,28553
1967,3,30479
1967,4,32839
1967,5,69317
1967,6,32842
1967,7,33443
1967,8,34990
1967,9,58058
1967,10,33962
1967,11,247
1967,12,35418
1968,1,39700
1968,2,37479
1968,3,40162
1968,4,33832
1968,5,76452
1968,6,87202
1968,7,35996
1968,8,46783
1968,9,83868
1968,10,45723
1968,11,33105
1968,12,37596
1969,1,36568
1969,2,34329
1969,3,9296
1969,4,28550
1969,5,34947
1969,6,65410
1969,7,32058
1969,8,32754
1969,9,26750
1969,10,24066
1969,11,27265
1969,12,28484
1970,1,50377
1970,2,46679
1970,3,58126
1970,4,44458
1970,5,45030
1970,6,31258
1970,7,29456
1970,8,25962
1970,9,22861
1970,10,17782
1970,11,23249
1970,12,28602
1971,1,22451
1971,2,23646
1971,3,29811
1971,4,26603
1971,5,22031
1971,6,16245
1971,7,10679
1971,8,9836
1971,9,9710
1971,10,8861
1971,11,13842
1971,12,15719
1972,1,17051
1972,2,17867
1972,3,19559
1972,4,19224
1972,5,27323
1972,6,25550
1972,7,23332
1972,8,25103
1972,9,19347
1972,10,18784
1972,11,20666
1972,12,17240
1973,1,21485
1973,2,11450
1973,3,7506
1973,4,9718
1973,5,10315
1973,6,9377
1973,7,9746
1973,8,5210
