TGTLATDD_DDD_WGS84,TGTLONDDD_DDD_WGS84
16.9081,107.1747
19.275,103.0453
14.685,106.6442
17.2853,106.1964
17.0439,105.9661
15.6708,106.2767
14.3783,108.9733
19.9158,105.4314
17.7147,106.4828
9.8089,104.97
16.2261,106.2381
15.9256,108.2547
16.6122,106.4814
16.8147,107.015
12.2014,105.9478
10.0561,106.0442
17.0636,106.6775
18.3653,105.6139
14.7564,108.9136
15.3939,107.7922
9.6367,105.4686
11.05,105.6683
16.5331,106.1381
14.0644,108.9411
17.2825,106.6419
19.61,103.1453
18.7669,105.6786
19.1075,102.3811
15.9039,106.9236
15.67,106.2653
19.5433,103.3622
16.8003,107.2014
19.47,103.245
19.5417,103.2831
10.7308,106.4753
16.7317,107.1811
16.74,106.4569
19.4869,103.2792
17.38,106.2147
10.7947,106.8431
11.5497,106.1228
18.8978,105.6061
17.6967,106.4817
19.5558,102.9769
15.6492,106.4061
19.8781,105.7547
11.4408,106.4083
15.6792,106.3894
16.3003,106.9611
17.2306,105.8222
19.735,103.2706
19.5883,103.4322
17.6614,106.5086
17.1381,106.0661
16.5311,106.0011
15.6367,108.1792
15.5597,108.0808
19.4856,103.2733
10.73,106.925
17.2983,106.2086
15.7278,106.4375
16.7981,106.6639
13.7767,107.5778
10.0111,105.8997
16.8322,107.1606
19.4867,103.2686
16.6011,106.1072
19.2872,103.1356
11.2036,106.8064
16.3231,107.1953
15.3272,106.7067
13.7114,107.6817
15.7133,106.4272
16.0608,106.6053
14.3619,108.9725
19.7283,103.2506
15.7922,106.3681
15.8597,108.18
16.3036,106.5633
17.0861,106.1678
16.8111,106.9989
16.6092,106.7719
15.9017,108.2242
19.5514,103.3564
15.6719,106.3997
15.1006,106.6678
16.5872,106.1558
16.6928,107.0136
19.2156,103.0858
16.7875,107.19
9.8575,105.3694
19.9236,105.6689
14.7611,108.7425
9.4206,105.5531
10.0056,106.2803
15.7206,106.415
18.3972,105.7583
19.4922,103.3036
19.6842,103.1667
19.5222,102.8897
19.5736,103.0283
16.2219,106.5533
16.6208,106.4253
17.4464,106.6197
16.7922,106.4808
19.4608,103.2344
17.4247,105.1781
17.4036,105.7581
16.8203,107.185
15.5614,106.2975
