NUM_MISSIONS,DATE
355,1965-10-01
572,1965-10-02
528,1965-10-03
473,1965-10-04
608,1965-10-05
559,1965-10-06
481,1965-10-07
585,1965-10-08
598,1965-10-09
732,1965-10-10
411,1965-10-11
385,1965-10-12
284,1965-10-13
356,1965-10-14
351,1965-10-15
429,1965-10-16
272,1965-10-17
379,1965-10-18
520,1965-10-19
479,1965-10-20
424,1965-10-21
504,1965-10-22
604,1965-10-23
523,1965-10-24
567,1965-10-25
666,1965-10-26
645,1965-10-27
480,1965-10-28
694,1965-10-29
726,1965-10-30
561,1965-10-31
675,1965-11-01
598,1965-11-02
484,1965-11-03
617,1965-11-04
572,1965-11-05
696,1965-11-06
542,1965-11-07
548,1965-11-08
612,1965-11-09
601,1965-11-10
729,1965-11-11
674,1965-11-12
765,1965-11-13
594,1965-11-14
654,1965-11-15
636,1965-11-16
669,1965-11-17
792,1965-11-18
712,1965-11-19
536,1965-11-20
542,1965-11-21
476,1965-11-22
596,1965-11-23
592,1965-11-24
499,1965-11-25
493,1965-11-26
399,1965-11-27
505,1965-11-28
585,1965-11-29
577,1965-11-30
533,1965-12-01
584,1965-12-02
637,1965-12-03
541,1965-12-04
582,1965-12-05
609,1965-12-06
593,1965-12-07
673,1965-12-08
727,1965-12-09
663,1965-12-10
633,1965-12-11
798,1965-12-12
688,1965-12-13
837,1965-12-14
680,1965-12-15
602,1965-12-16
471,1965-12-17
404,1965-12-18
523,1965-12-19
486,1965-12-20
605,1965-12-21
733,1965-12-22
681,1965-12-23
620,1965-12-24
10,1965-12-25
387,1965-12-26
567,1965-12-27
760,1965-12-28
724,1965-12-29
680,1965-12-30
656,1965-12-31
376,1966-01-01
483,1966-01-02
480,1966-01-03
491,1966-01-04
497,1966-01-05
544,1966-01-06
489,1966-01-07
501,1966-01-08
546,1966-01-09
482,1966-01-10
553,1966-01-11
442,1966-01-12
520,1966-01-13
444,1966-01-14
422,1966-01-15
502,1966-01-16
474,1966-01-17
440,1966-01-18
460,1966-01-19
196,1966-01-20
107,1966-01-21
114,1966-01-22
235,1966-01-23
479,1966-01-24
490,1966-01-25
480,1966-01-26
489,1966-01-27
385,1966-01-28
402,1966-01-29
500,1966-01-30
586,1966-01-31
572,1966-02-01
479,1966-02-02
579,1966-02-03
520,1966-02-04
401,1966-02-05
459,1966-02-06
560,1966-02-07
562,1966-02-08
503,1966-02-09
614,1966-02-10
568,1966-02-11
601,1966-02-12
496,1966-02-13
492,1966-02-14
598,1966-02-15
465,1966-02-16
471,1966-02-17
511,1966-02-18
455,1966-02-19
429,1966-02-20
470,1966-02-21
522,1966-02-22
403,1966-02-23
364,1966-02-24
457,1966-02-25
525,1966-02-26
632,1966-02-27
593,1966-02-28
623,1966-03-01
519,1966-03-02
589,1966-03-03
703,1966-03-04
583,1966-03-05
719,1966-03-06
722,1966-03-07
560,1966-03-08
479,1966-03-09
490,1966-03-10
487,1966-03-11
610,1966-03-12
687,1966-03-13
704,1966-03-14
573,1966-03-15
578,1966-03-16
637,1966-03-17
564,1966-03-18
532,1966-03-19
635,1966-03-20
689,1966-03-21
663,1966-03-22
670,1966-03-23
704,1966-03-24
553,1966-03-25
494,1966-03-26
492,1966-03-27
590,1966-03-28
623,1966-03-29
556,1966-03-30
600,1966-03-31
1041,1966-04-01
1040,1966-04-02
1314,1966-04-03
1146,1966-04-04
1019,1966-04-05
1073,1966-04-06
948,1966-04-07
882,1966-04-08
817,1966-04-09
798,1966-04-10
935,1966-04-11
841,1966-04-12
907,1966-04-13
1120,1966-04-14
